,2341,Sylius\\Component\\Core\\Model\\Product,Deodoront Sobre por 50 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:114;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2342,Sylius\\Component\\Core\\Model\\Product,Deodoront Talco por 80 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:230;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2343,Sylius\\Component\\Core\\Model\\Product,Dermacifsa Creama Antipañalitis por 40 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:392;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2344,Sylius\\Component\\Core\\Model\\Product,Elixir de Passiflora por 120 ml,a:4:{s:6:"taxons";a:1:{i:0;s:7:"Insumos";}s:5:"price";i:345;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2345,Sylius\\Component\\Core\\Model\\Product,Limonada Purgante por 240 ml,a:4:{s:6:"taxons";a:1:{i:0;s:7:"Insumos";}s:5:"price";i:318;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2346,Sylius\\Component\\Core\\Model\\Product,Papaverol Adultos por 100 Supositorios,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:5717;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2347,Sylius\\Component\\Core\\Model\\Product,Rabano Yodado Jbe. por 120 ml,a:4:{s:6:"taxons";a:1:{i:0;s:10:"Pediatrico";}s:5:"price";i:300;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2348,Sylius\\Component\\Core\\Model\\Product,Sulfacif por 100 Tabletas,a:4:{s:6:"taxons";a:1:{i:0;s:12:"Medicamentos";}s:5:"price";i:1757;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2349,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Max. Protec. Antic. 1667 Tripack de 100 ml cada uno Precio Especial,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:415;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2350,Sylius\\Component\\Core\\Model\\Product,Colgate Cep 360º mas Colg Tot 12 C.M. por 75 ml 5085,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:493;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2351,Sylius\\Component\\Core\\Model\\Product,Colgate Cep 360º 0342 Sensitive Extra Suave,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:566;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2352,Sylius\\Component\\Core\\Model\\Product,Colgate Cep 360º 0472 Surround Suave,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:566;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2353,Sylius\\Component\\Core\\Model\\Product,Colgate Cep 360º 0489 Surround Medio,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:566;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2354,Sylius\\Component\\Core\\Model\\Product,Colgate Cep 360º 5121 Luminous White Medio ,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:566;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2355,Sylius\\Component\\Core\\Model\\Product,Colgate Cep 360º 6159 Sonic Power Medio,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:848;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2356,Sylius\\Component\\Core\\Model\\Product,Colgate Cep 360º 6160 Medio por Unidad,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:493;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2357,Sylius\\Component\\Core\\Model\\Product,Colgate Cep 360º 6207 Suave 2 por 1 ,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:493;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2358,Sylius\\Component\\Core\\Model\\Product,Colgate Cep 360º Luminous White Medio 2 por 1 5152,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:540;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2359,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Antibacterial 6357 360º 2 por 1 ,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:566;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2360,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Antibacterial 8680 Zizzag Medio 2X1,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:246;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2361,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Extra Clean 0422 Suave 2 por 1 ,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:174;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2362,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Infant. 1269 Dr. Muelitas Suave,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:235;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2363,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Infant. Dr. Rabit Ext/Suave por Unid 1224,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:67;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2364,Sylius\\Component\\Core\\Model\\Product,Colgate Cep InterDental 2 mm Kit 1071,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:1120;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2365,Sylius\\Component\\Core\\Model\\Product,Colgate Cep InterDental 4 mm Kit 1088,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:1120;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2366,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Kids mas 5 Años Extra Suave 1231,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:236;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2367,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Maxfresh 2343 Mediano 2 por 1,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:390;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2368,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Navigator Plus Suave 2X1 8707,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:370;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2369,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Orthodontic Suave por Unid 6603,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:575;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2370,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Premier Clean Exibid por 12 Unidades 5040,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:802;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2371,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Slim Soft Adulto Suave 2 por 1 7793,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:493;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2372,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Slim Soft con Punta Limpiadora Adulto Suave 2 por 1 7830,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:493;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2373,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Smiles 1081 de 0-2 Años,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:375;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2374,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Smiles 1098 de 2 A 5 Años,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:375;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2375,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Smiles 1104 mas 5 Años,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:375;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2376,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Triple Accion 1207 Mediano 2X1,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:224;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2377,Sylius\\Component\\Core\\Model\\Product,Colgate Cep Twister 0229 Fresh Suave,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:235;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2378,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Luminous White 3875 por 125 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:569;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2379,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Luminous White 4650 por 75 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:342;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2380,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Max. Protec. Antic. 1031 por 100 ml ,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:230;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2381,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Max. Protec. Antic. 1716 por 63 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:83;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2382,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Max. Protec. Antic. 2 Cremas por 150 ml. cada uno 20 % Gratis,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:437;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2383,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Max. Protec. Antic. 4411 por 150 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:272;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2384,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Max. Protec. Antic. 9152 por 22 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:49;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2385,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Max. Protec. Antic. 9179 por 75 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:92;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2386,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Mi Primer Colgate 3085 por 75 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:241;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2387,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Sensitive 4429 Blanquead 75 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:560;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2388,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Sensitive Pro-Alivio 3485 por 110 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:706;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2389,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Sensitive Pro-Alivio 3560 por 50 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:327;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2390,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Sensitive Pro-Alivio 3898 mas Blanquad por 110 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:709;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2391,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Smiles 2-5 Años por 75 ml 1160,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:241;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2392,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Smiles 8338 SpiDer-Man por 75 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:241;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2393,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Total 12 Profes Encias Saludables por 75 ml 2861,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:394;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2394,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Total 12 0372 Whitening Gel 75 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:367;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2395,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Total 12 4255 Professional Whitening 125 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:588;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2396,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Total 12 8019 Profes Clean por 75 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:399;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2397,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Total 12 Clean Mint por 75 ml 0310 ,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:367;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2398,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Total 12 Clean Mint por 150 ml 1376 ,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:642;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2399,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Triple Accion por 22 ml. 1464,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:49;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2400,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Triple Accion por 63 ml 1723,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:100;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2401,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Triple Accion 0343 por 100 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:291;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2402,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Triple Accion 0985 por 75 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:157;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2403,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Triple Accion 1034 Paq. por 3 Uni de 75 ml cada uno Precio Especial,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:383;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2404,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Triple Accion 1278 Tripack por 100 ml cada uno,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:513;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2405,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Triple Accion 3108 por 50 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:88;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2406,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Triple Accion Paq. por 2 Uni de 75 ml cada uno 30 % Gratis,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:271;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2407,Sylius\\Component\\Core\\Model\\Product,Colgate Crema Ultra Blanco 8727 por 100 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:439;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2408,Sylius\\Component\\Core\\Model\\Product,Colgate Gel Maxfresh 8963 Mint Burst por 133 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:364;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2409,Sylius\\Component\\Core\\Model\\Product,Colgate Gel Maxwhite 3188 Crystal Mint por 75 ml,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:258;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2410,Sylius\\Component\\Core\\Model\\Product,Colgate Hilo Dental 3083 Flour Menta por 25 Mtrs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:284;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2411,Sylius\\Component\\Core\\Model\\Product,Colgate Hilo Dental 3182 Total Con Cera 25 Mtrs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:284;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2412,Sylius\\Component\\Core\\Model\\Product,Colgate Kit Portatil 2892 Total 12 Clean Mint,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:431;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2413,Sylius\\Component\\Core\\Model\\Product,Colgate Luminous White Enjuage Bucal por 250 ml 9420,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:582;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2414,Sylius\\Component\\Core\\Model\\Product,Colgate Luminous White Enjuage Bucal por 500 ml mas C.D. Luminous White 75 ml 0306,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:804;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2415,Sylius\\Component\\Core\\Model\\Product,Colgate Luminous White Enjuage Bucal por 500 ml. 9437 ,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:930;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2416,Sylius\\Component\\Core\\Model\\Product,Colgate Paq. Inf. Cep. Smiles mas5 mas Crema Dental Smiles mas6 1610,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:403;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2417,Sylius\\Component\\Core\\Model\\Product,Kolynos Pasta Dental 4527 Super Blanco por 75 Cc,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:101;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2418,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo 1705 Mini Floral Fresh Caj por 6 Unid,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:815;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2419,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo 2656 Ph Active por 45 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2420,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo 2687 Profes Protect Ph Active por 45 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:647;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2421,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo 4471 Invisible Wild Freesia 45 Gr,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2422,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo 4488 Invisible Orchard Blossom 45 Gr,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2423,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo 5312 Naturals & Protect por 45 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2424,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo 5514 Active Fresh por 45 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2425,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo 7545 Pro-5 En 1por 45 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2426,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo 7682 Profes Protect 5 En 1 por 45 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:647;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2427,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo 8314 Perfect Tone por 45 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2428,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo 8765 Teen Spirit Fantasy Queen 45 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2429,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo 8925 Invisible Floral 45 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2430,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo 9146 Floral Fresh por 45 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2431,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo Aclarado Perfecto mas Vita E por 45 Grs.,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2432,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo Cool Azul por 45 Grs. 9808,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2433,Sylius\\Component\\Core\\Model\\Product,Lady S Barra Deo Cool Verde por 45 Grs. 9815,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:409;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2434,Sylius\\Component\\Core\\Model\\Product,Lady S Gel Deo 1600 Floral Fresh por 18 Cojines,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:403;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2435,Sylius\\Component\\Core\\Model\\Product,Lady S Gel Deo 5545 Active Fresh por 65 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:495;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
,2436,Sylius\\Component\\Core\\Model\\Product,Lady S Gel Deo 9153 Floral Fresh por 65 Grs,a:4:{s:6:"taxons";a:1:{i:0;s:16:"Cuidado Personal";}s:5:"price";i:495;s:7:"made_of";a:0:{}s:5:"color";a:0:{}},2016-05-20 18:00:00
